date0,date1,type,label
2010-03-05,2010-03-20,meeting,The 3rd meeting of the 11th National People's Congress
2010-03-27,2010-03-28,sport,Opening of 2010 Chinese Football Association Super League
2010-05-17,2010-05-19,meeting,Government meeting on Xinjiang affairs
2010-05-24,2010-05-25,meeting,The 2nd round of Sino US military and economic dialogue
2010-12-10,2010-12-12,meeting,Government meeting on Economic affairs
2011-01-09,2011-01-10,visit,Robert Gates's visit to Beijing
2011-03-05,2011-03-20,meeting,The 4th meeting of the 11th National People's Congress
2011-05-20,2011-05-26,visit,Kim Jon Il's visit to Beijing
2012-01-09,2012-01-11,visit,Lee Myung-bak's visit to China
2012-02-06,2012-02-09,visit,Syrian opposition faction's visit to Beijing
2012-03-05,2012-03-20,meeting,The 5th meeting of the 11th National People's Congress
2013-03-05,2013-03-20,meeting,The 1st meeting of the 12th National People's Congress
2014-02-18,2014-02-19,visit,Lien Chan's visit to Beijing
2014-03-05,2014-03-20,meeting,The 2nd meeting of the 12th National People’s Congress
2014-03-20,2014-03-26,visit,Mrs. Michelle Obama's visit to Beijing
2014-04-07,2014-04-08,visit,Charles Hagel's visit to Beijing
2014-04-15,2014-04-16,meeting,National Security Commission
2014-04-24,2014-04-26,visit,Yoichi Masuzoe's visit to Beijing
2014-11-10,2014-11-11,meeting,APEC meeting
2015-03-05,2015-03-20,meeting,The 3rd meeting of the 12th National People’s Congress
2015-08-22,2015-08-30,sport,IAAF World Championships BEIJING 2015
2015-08-27,2015-09-03,celebration,Military parade celebrating the 70th anniversary of victory over fascism
